1000 Island|39.64|||256000|54|Brand
1000 Island|47.75|||0|70|Riceland
40% Bran Flakes|26.41|1|oz|4|105|Caress
40% Bran Flakes|27.64|1|oz|7626757|26|Earths Best
Alfalfa Seeds|23.73|||8955910|88|Boars Head
All-Bran Cereal|44.7|||417800|45|Back To Nature
Almonds|46.78|1|Cup|7673870|45|Sally Hansen
Almonds|34.89|1|oz|170000|65|Twinings Of London
Angelfood Cake|47.59|1|Cake|8525840|12|Lea & Perrins
Angelfood Cake|10.23|1|Piece|411670|70|Van De Kamps
Apple Juice|20.34|1|Cup|710680|33|Ahold
Apple Pie|10.1|||411673|87|Honest Tea
Apple Pie|41.21|||411674|104|Mueller
Apples|22.25|||340000|78|Garnier Nutritioniste
Apples|40.72|||340001|64|Pamprin
Apples|15.1|||6547493|92|Suave
Apples|39.97|||288814|28|Burts Bees
Applesauce|20.59|||753710|41|Ducal
Applesauce|32.78|||510000|64|Scotch
Apricot Nectar|16.71|1|Cup|510001|91|Careone
Apricot|43.76|||122928|52|Usda Produce
Apricot|16.95|||710720|55|Doctors Best
Apricots|43.85|||700487|8|Betty Crocker
Apricots|44.29|||6058060|76|Reese
Apricots|36.4|||3004504|107|Smart Living
Apricots|26.03|||467040|42|Hood
Apricots|17.37|3|Aprcot|6576224|75|Triaminic
Artichokes|17.18|||6576226|21|Morton
Asparagus|43.68|||8970340|45|Usda Produce
Asparagus|16.64|||458853|109|Heinz
Asparagus|16.78|||702576|107|Petmate
Asparagus|49.73|||716913|109|Zhenas Gypsy Tea
Asparagus|47.17|||8583287|67|Barefoot
Asparagus|46.49|||2160764|90|The First Years
Avocados|14.44|1|Avocdo|311423|30|Halls
Avocados|40.86|1|Avocdo|870527|92|Natures Way
Bagels|46.79|1|Bagel|706700|46|Deerfields Gluten Free
Bagels|25.66|1|Bagel|250000|69|Nakano
Baking Powder|17.53|1|Tsp|207000|55|Sundown Naturals
Baking Powder|11.54|1|Tsp|8048793|44|Munchies
Baking Powder|46.94||Ca|6989978|29|Amys
Baking Powder|16.13|||241820|13|P.f. Changs
Baking Pwdr Biscuits|40.78|1|Biscut|473250|12|Moms Best Naturals
Baking Pwdr Biscuits|36.95|1|Biscut|190632|102|Ferrara
Baking Pwdr Biscuits|20.14|1|Biscut|8114350|10|Elmers
Bamboo Shoots|40.23|||413874|43|Kelloggs
Bananas|49.31|||334006|102|Mama Marys
Bananas|45.39|1|Cup|125112|14|Bear Naked
Barbecue Sauce|15.31|||704700|88|Dove
Barley|11.94|||704704|41|Easy-off
Bean Sprouts|11.92|||461000|99|Choice
Bean Sprouts|30.85|||3008714|11|Careone
Bean With Bacon Soup|41.99|1|Cup|760010|76|Sacla
Beans|21.94|||413900|44|Huggies
Beans|49.64|||764109|47|Serpis
Beans|13.93|||6785230|21|Ripken
Beef And Vegetable Stew|10.55|1|Cup|8040660|102|Arnold
Beef Broth|13.37|||8165590|76|Traditional Medicinals
Beef Gravy|40.08|1|Cup|3125466|15|Perrys Ice Cream
Beef Heart|41.26|3|oz|7569631|47|Black Swan
Beef Liver|23.11|3|oz|332001|91|Matys
Beef Noodle Soup|46.87|1|Cup|3000549|80|Kraft
Beef Potpie|46.57|1|Piece|246000|35|Eight Oclock Coffee
Beef Roast|24.17|||772340|17|Ahold
Beef Roast|37.66|||6355191|106|Enzymatic Therapy
Beef Roast|25.75|||8937720|105|Ahold
Beef Roast|16.62|||8501500|75|Mrs Renfro
Beef Steak|31.9|||7444734|61|Say-it
Beef Steak|38.3|||160001|19|Hillshire Farm
Beef|34.54|||160002|49|Coffee-mate
Beef|35.31|||702722|38|Careone
Beef|28.95|||160004|88|1-day
Beef|15.71|||776449|13|Preparation H
Beef|21.05|||8573200|74|Roth Kase
Beef|38.31|||354577|84|Firm Grip
Beer|28.03|12|fl|3008786|51|Downy
Beer|34.31|12|fl|8702230|52|Hostess
Beet Greens|26.29|||424215|11|Gerber
Beets|39.83|||702750|105|Powerbar
Beets|14.3|||500001|37|Every Man Jack
Beets|30.08|||500003|65|Ahold
Beets|44.94|||500004|81|Piacci
Black Beans|47.5|||500005|81|Organix
Blackberries|19.36|1|Cup|3258661|44|Dr Scholls
Blackeye Peas|47.72|||207162|34|Guidas
Blackeye Peas|40.07|||3813700|8|Hime
